.12	0.0000
.14	0.0000
.16	0.0000
.18	0.0001
.20	0.0011
.22	0.0057
.23	0.0067
.24	0.0063
.25	0.0070
.26	0.0130
.27	0.0232
.28	0.0222
.29	0.0482
.30	0.0514
.31	0.0689
.32	0.0830
.33	0.1059
.34	0.1074
.35	0.1093
.36	0.1068
.37	0.1181
.38	0.1120
.39	0.1098
.40	0.1429
.41	0.1751
.42	0.1747
.43	0.1639
.44	0.1810
.45	0.2006
.46	0.2066
.47	0.2033
.48	0.2074
.49	0.1950
.50	0.1942
.51	0.1882
.52	0.1833
.53	0.1842
.54	0.1783
.55	0.1725
.56	0.1695
.57	0.1712
.58	0.1715
.59	0.1700
.60	0.1666
.62	0.1602
.64	0.1544
.66	0.1486
.68	0.1427
.70	0.1369
.72	0.1314
.75	0.1235
.80	0.1107
.90	0.0889
1.	0.0746
1.2	0.0484
1.4	0.0336
1.6	0.0244
1.8	0.0159
2.	0.0103
2.2	0.0079
2.4	0.0064
2.6	0.0048
2.8	0.0039
3.0	0.0031
3.2	0.0023
3.4	0.0017
3.6	0.0013
3.8	0.0011
4.0	0.0009
4.5	0.0006
5.0	0.0004
6.0	0.0002
7.0	0.0001
8.0	0.0001
10.0	0.0000
15.0	0.0000
20.0	0.0000
50.0	0.0000
